zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	algorithm
#667	23.05.2019 13:27	4779	246	1793	488	0	16	49	9	1
#666	23.05.2019 14:27	5201	199	1197	1331	0	15	50	9	1
#665	23.05.2019 15:27	4390	205	926	1189	1	15	51	9	1
#664	23.05.2019 16:27	3912	127	843	1025	0	15	52	9	1
#663	23.05.2019 17:27	3193	114	673	852	0	15	52	9	1
#662	23.05.2019 18:27	2571	132	553	664	0	15	53	9	1
#661	23.05.2019 19:27	2292	82	477	608	0	15	53	9	1
#660	23.05.2019 20:27	2051	96	438	533	0	15	53	9	1
#659	23.05.2019 21:27	2060	73	450	517	0	15	54	9	1
#658	23.05.2019 22:27	1811	73	360	490	0	15	54	9	1
#657	23.05.2019 23:27	1583	75	328	415	0	15	54	9	1
#656	24.05.2019 0:27	1255	53	270	336	0	14	54	9	1
#655	24.05.2019 1:27	1032	46	215	279	0	14	55	9	1
#654	24.05.2019 2:27	980	48	213	256	0	14	55	9	1
#653	24.05.2019 3:27	873	37	190	228	0	14	55	9	1
#652	24.05.2019 4:27	879	23	183	238	0	14	55	9	1
#651	24.05.2019 5:27	760	38	179	185	0	14	55	9	1
#650	24.05.2019 6:27	750	29	164	195	0	14	55	9	1
#649	24.05.2019 7:27	796	27	189	192	0	14	55	9	1
#648	24.05.2019 8:27	750	42	182	177	0	14	55	9	1
#647	24.05.2019 9:27	610	29	131	161	0	14	55	9	1
#646	24.05.2019 10:27	642	28	144	155	0	15	55	9	1
#645	24.05.2019 11:27	786	32	197	169	0	15	55	9	1
#644	24.05.2019 12:27	831	35	176	211	0	15	55	9	1
#643	24.05.2019 13:27	958	37	225	221	0	15	55	9	1
642	24.05.2019 14:27	934	34	227	208	0	15	55	9	1
641	24.05.2019 15:27	951	47	222	221	0	15	55	9	1
640	24.05.2019 16:27	1061	39	235	259	0	15	55	9	1
639	24.05.2019 17:27	904	32	195	226	0	15	55	9	1
638	24.05.2019 18:27	775	28	152	209	0	15	55	9	1
637	24.05.2019 19:27	758	31	181	172	0	15	55	9	1
636	24.05.2019 20:27	767	20	171	186	0	15	55	9	1
635	24.05.2019 21:27	721	32	167	169	0	15	55	9	1
634	24.05.2019 22:27	931	39	238	192	0	15	56	9	1
633	24.05.2019 23:27	894	47	198	215	0	15	56	9	1
632	25.05.2019 0:27	970	29	240	208	0	15	56	9	1
631	25.05.2019 1:27	987	49	242	214	0	15	56	9	1
630	25.05.2019 2:27	957	46	201	241	0	15	56	9	1
629	25.05.2019 3:27	935	33	201	231	0	15	56	9	1
628	25.05.2019 4:27	855	45	177	218	0	15	56	9	1
627	25.05.2019 5:27	823	41	183	197	0	15	56	9	1
626	25.05.2019 6:27	808	40	173	200	0	15	56	9	1
625	25.05.2019 7:27	816	33	189	188	0	15	56	9	1
624	25.05.2019 8:27	974	33	226	224	0	15	56	9	1
623	25.05.2019 9:27	972	42	207	242	0	15	56	9	1
622	25.05.2019 10:27	888	36	197	213	0	15	56	9	1
621	25.05.2019 11:27	948	27	199	239	0	15	56	9	1
620	25.05.2019 12:27	922	41	190	236	0	15	56	9	1
619	25.05.2019 13:27	892	47	210	202	0	15	56	9	1
618	25.05.2019 14:27	828	37	169	206	0	16	55	9	1
617	25.05.2019 15:27	561	20	79	175	0	16	55	9	1
616	25.05.2019 16:27	276	18	45	80	0	16	55	9	1
615	25.05.2019 17:27	218	3	27	70	0	17	54	9	1
614	25.05.2019 18:27	101	2	17	29	0	16	55	9	1
613	25.05.2019 19:27	84	3	19	19	0	16	56	9	1
612	25.05.2019 20:27	140	11	38	25	0	16	56	9	1
611	25.05.2019 21:27	323	7	97	47	0	16	57	9	1
610	25.05.2019 22:27	494	18	121	99	0	16	57	9	1
609	25.05.2019 23:27	513	8	123	104	0	16	58	9	1
608	26.05.2019 0:27	451	13	93	112	0	15	58	9	1
607	26.05.2019 1:27	321	7	56	89	0	15	59	9	1
606	26.05.2019 2:27	288	4	63	67	0	15	59	9	1
605	26.05.2019 3:27	255	7	52	63	0	15	59	9	1
604	26.05.2019 4:27	224	8	41	60	0	15	59	9	1
603	26.05.2019 5:27	208	4	48	46	0	15	59	9	1
602	26.05.2019 6:27	176	3	33	46	0	15	60	9	1
601	26.05.2019 7:27	252	4	63	50	0	15	60	9	1
600	26.05.2019 8:27	326	8	82	63	0	15	61	9	1
599	26.05.2019 9:27	419	15	103	83	0	15	61	9	1
598	26.05.2019 10:27	489	19	115	104	0	15	60	9	1
597	26.05.2019 11:27	636	17	154	123	0	16	60	9	1
596	26.05.2019 12:27	593	15	125	133	0	16	60	9	1
595	26.05.2019 13:27	567	21	120	127	0	16	60	9	1
594	26.05.2019 14:27	632	14	141	134	0	16	60	9	1
593	26.05.2019 15:27	620	16	121	149	0	16	60	9	1
592	26.05.2019 16:27	512	15	90	133	1	16	60	9	1
591	26.05.2019 17:27	577	13	130	121	0	16	60	9	1
590	26.05.2019 18:27	561	11	134	110	0	16	60	9	1
589	26.05.2019 19:27	528	8	90	140	0	16	60	9	1
588	26.05.2019 20:27	512	12	112	111	0	16	60	9	1
587	26.05.2019 21:27	535	14	92	141	0	16	60	9	1
586	26.05.2019 22:27	600	18	144	117	0	16	60	9	1
